furnished,garage,garden,kitchen_equipment,kitchen_type,livable_surface,locality,number_of_bathrooms,number_of_bedrooms,number_of_facades,number_of_floors,price,property_code,property_url,state_of_the_property,surface_garden,surface_terrace,swimming_pool,terrace,total_land_surface,type_of_heating,type_of_property
No,Yes,Yes,,,284 m²,2660 Hoboken,2.0,3.0,3.0,,  524 500 €  ,RBT71633,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbt71633,Excellent,,,,Yes,660 m²,Gas,Residence
No,Yes,,,,107 m²,2490 Balen,1.0,2.0,3.0,2.0,  290 000 €  ,RBT71605,https://immovlan.be/en/detail/penthouse/for-sale/2490/balen/rbt71605,New,,14 m²,,Yes,,,Penthouse
No,Yes,,,,126 m²,2490 Balen,1.0,3.0,3.0,2.0,  372 000 €  ,RBT71604,https://immovlan.be/en/detail/apartment/for-sale/2490/balen/rbt71604,New,,25 m²,,Yes,,,Apartment
No,Yes,,,,126 m²,2490 Balen,1.0,3.0,3.0,2.0,  372 000 €  ,RBT71603,https://immovlan.be/en/detail/ground-floor/for-sale/2490/balen/rbt71603,New,,32 m²,,Yes,,,Ground
No,Yes,Yes,,,195 m²,2400 Mol,1.0,3.0,4.0,,  245 000 €  ,RBT71595,https://immovlan.be/en/detail/residence/for-sale/2400/mol/rbt71595,Normal,,,,Yes,1214 m²,Not specified,Residence
No,,Yes,,,108 m²,2430 Vorst,1.0,2.0,3.0,2.0,  237 000 €  ,RBT71570,https://immovlan.be/en/detail/apartment/for-sale/2430/vorst/rbt71570,Normal,181 m²,,,,,Gas,Apartment
,Yes,Yes,,,107 m²,2223 Schriek,2.0,3.0,,2.0,  419 000 €  ,RBT71519,https://immovlan.be/en/detail/penthouse/for-sale/2223/schriek/rbt71519,New,,9 m²,No,Yes,,,Penthouse
,Yes,Yes,,,107 m²,2220 Heist-op-den-Berg,2.0,3.0,,2.0,  419 000 €  ,RBT71518,https://immovlan.be/en/detail/penthouse/for-sale/2220/heist-op-den-berg/rbt71518,New,,9 m²,No,Yes,,,Penthouse
,Yes,Yes,,,220 m²,2860 Sint-Katelijne-Waver,1.0,3.0,3.0,,  495 000 €  ,RBT71516,https://immovlan.be/en/detail/residence/for-sale/2860/sint-katelijne-waver/rbt71516,Normal,,,,Yes,1058 m²,Gas,Residence
No,,,,,175 m²,2490 Balen,1.0,3.0,3.0,,  399 900 €  ,RBT71515,https://immovlan.be/en/detail/residence/for-sale/2490/balen/rbt71515,New,,,,Yes,446 m²,Electricity,Residence
,,,,,96 m²,2870 Puurs-Sint-Amands,1.0,2.0,,,  305 000 €  ,RBT71510,https://immovlan.be/en/detail/apartment/for-sale/2870/puurs-sint-amands/rbt71510,Excellent,,15 m²,,Yes,,,Apartment
,,,,,78 m²,2870 Puurs-Sint-Amands,1.0,1.0,,,  250 000 €  ,RBT71509,https://immovlan.be/en/detail/apartment/for-sale/2870/puurs-sint-amands/rbt71509,Excellent,,,,Yes,,,Apartment
,,,,,96 m²,2870 Puurs-Sint-Amands,1.0,2.0,,,  305 000 €  ,RBT71508,https://immovlan.be/en/detail/apartment/for-sale/2870/puurs-sint-amands/rbt71508,Excellent,,15 m²,,Yes,,,Apartment
No,Yes,,Super equipped,,395 m²,2321 Meer,1.0,2.0,3.0,2.0,  425 000 €  ,RBT71497,https://immovlan.be/en/detail/residence/for-sale/2321/meer/rbt71497,Excellent,,,,Yes,536 m²,,Residence
No,Yes,Yes,,,183 m²,2570 Duffel,1.0,4.0,3.0,,  585 000 €  ,RBT71474,https://immovlan.be/en/detail/residence/for-sale/2570/duffel/rbt71474,,,,,,818 m²,Gas,Residence
