furnished,garage,garden,kitchen_equipment,kitchen_type,livable_surface,locality,number_of_bathrooms,number_of_bedrooms,number_of_facades,number_of_floors,price,property_code,property_url,state_of_the_property,surface_garden,surface_terrace,swimming_pool,terrace,total_land_surface,type_of_heating,type_of_property
,Yes,Yes,,,,5190 Jemeppe-Sur-Sambre,1.0,3.0,3.0,1.0, Make offer from 200 000 €  ,VBC77528,https://immovlan.be/en/detail/residence/for-sale/5190/jemeppe-sur-sambre/vbc77528,,,,,Yes,75 m²,Fuel oil,Residence
No,,Yes,,,350 m²,5190 Jemeppe-Sur-Sambre,3.0,6.0,4.0,,  110 000 €  ,VBC77601,https://immovlan.be/en/detail/residence/for-sale/5190/jemeppe-sur-sambre/vbc77601,To be renovated,,,,Yes,639 m²,,Residence
,Yes,Yes,Fully equipped,,,5100 Jambes,1.0,4.0,4.0,, Start price 360 000 €  ,VBC77482,https://immovlan.be/en/detail/residence/in-public-sale/5100/jambes/vbc77482,,,,,,,Fuel oil,Residence
No,Yes,Yes,Super equipped,,135 m²,5030 Ernage,1.0,3.0,4.0,,  235 000 €  ,VBC77473,https://immovlan.be/en/detail/residence/for-sale/5030/ernage/vbc77473,To be renovated,575 m²,,,,860 m²,Fuel oil,Residence
No,,Yes,,,119 m²,5310 Éghezée,1.0,3.0,4.0,1.0, Make offer from 399 000 €  ,VBC77501,https://immovlan.be/en/detail/residence/for-sale/5310/eghezee/vbc77501,Excellent,830 m²,43 m²,No,Yes,1078 m²,Gas,Residence
No,Yes,,Fully equipped,Western kitchen,170 m²,5530 Durnal,2.0,4.0,3.0,2.0,  225 000 €  ,VBC77486,https://immovlan.be/en/detail/residence/for-sale/5530/durnal/vbc77486,To be renovated,,,No,,210 m²,,Residence
,,,Fully equipped,,138 m²,5650 Walcourt,1.0,2.0,2.0,, Make offer from 200 000 €  ,VBC77288,https://immovlan.be/en/detail/residence/for-sale/5650/walcourt/vbc77288,,,,,Yes,,Electricity,Residence
No,Yes,,,,185 m²,5580 Han-sur-Lesse,2.0,4.0,3.0,1.0,  225 000 €  ,VBC77257,https://immovlan.be/en/detail/residence/for-sale/5580/han-sur-lesse/vbc77257,To be renovated,,,,,,Fuel oil,Residence
,Yes,Yes,,,182 m²,5000 Namur,2.0,4.0,4.0,,  430 000 €  ,VWD13494,https://immovlan.be/en/detail/villa/for-sale/5000/namur/vwd13494,Normal,1489 m²,,,,,Electricity,Villa
No,Yes,,Partially equipped,Kitchenette,120 m²,5100 Dave,1.0,2.0,2.0,3.0,  349 000 €  ,VBC77282,https://immovlan.be/en/detail/penthouse/for-sale/5100/dave/vbc77282,Excellent,,5 m²,No,Yes,,Gas,Penthouse
No,,,Partially equipped,Kitchenette,42 m²,5580 Rochefort,1.0,1.0,2.0,1.0,  89 000 €  ,VBC77237,https://immovlan.be/en/detail/apartment/for-sale/5580/rochefort/vbc77237,Normal,,,No,,,Fuel oil,Apartment
No,Yes,,Fully equipped,Western kitchen,80 m²,5000 Namur,1.0,2.0,2.0,6.0,  215 000 €  ,VBC76042,https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbc76042,Excellent,,3 m²,No,Yes,,Fuel oil,Apartment
,,Yes,,,110 m²,5600 PHILIPPEVILLE,1.0,2.0,4.0,, Make offer from 40 000 €  ,VBC49323,https://immovlan.be/en/detail/residence/for-sale/5600/philippeville/vbc49323,,,,,,2508 m²,,Residence
No,Yes,,Super equipped,,294 m²,5630 Silenrieux,1.0,4.0,,,  230 000 €  ,VBC76741,https://immovlan.be/en/detail/residence/for-sale/5630/silenrieux/vbc76741,,,19 m²,,Yes,239 m²,,Residence
No,Yes,,,Independent,119 m²,5560 Mesnil-Saint-Blaise,1.0,2.0,2.0,2.0, Make offer from 135 000 €  ,VBC76825,https://immovlan.be/en/detail/residence/for-sale/5560/mesnil-saint-blaise/vbc76825,Normal,,,No,Yes,150 m²,,Residence
,,,,,,5680 Vaucelles,,2.0,,, Start price 95 000 €  ,VBC76717,https://immovlan.be/en/detail/residence/in-public-sale/5680/vaucelles/vbc76717,,,,,,,,Residence
,,,,,,5680 Vaucelles,,2.0,4.0,, Start price 85 000 €  ,VBC76716,https://immovlan.be/en/detail/residence/in-public-sale/5680/vaucelles/vbc76716,,,,,,1144 m²,,Residence
,,,,,,5670 Mazée,,,,, Start price 230 000 €  ,VBC76715,https://immovlan.be/en/detail/mixed-building/in-public-sale/5670/mazee/vbc76715,,,,,,3300 m²,,Mixed
No,Yes,Yes,Not equipped,,145 m²,5580 Rochefort,1.0,3.0,3.0,2.0,  175 000 €  ,VBC66895,https://immovlan.be/en/detail/residence/for-sale/5580/rochefort/vbc66895,To be renovated,442 m²,9 m²,,Yes,442 m²,Fuel oil,Residence
No,Yes,Yes,Not equipped,,175 m²,5580 Rochefort,1.0,3.0,4.0,2.0,  175 000 €  ,VBC63904,https://immovlan.be/en/detail/residence/for-sale/5580/rochefort/vbc63904,To be renovated,100 m²,,,,898 m²,Fuel oil,Residence
,,Yes,,,,5580 Jemelle,1.0,2.0,,,  120 000 €  ,VBC76559,https://immovlan.be/en/detail/residence/for-sale/5580/jemelle/vbc76559,To be renovated,,,,,141 m²,,Residence
No,Yes,Yes,Fully equipped,,87 m²,5570 Javingue,1.0,3.0,,,  275 000 €  ,VBC76555,https://immovlan.be/en/detail/residence/for-sale/5570/javingue/vbc76555,Excellent,1000 m²,10 m²,,Yes,,,Residence
No,Yes,Yes,,Independent,170 m²,5522 Falaën,1.0,2.0,2.0,, Make offer from 198 000 €  ,VBC76580,https://immovlan.be/en/detail/residence/for-sale/5522/falaen/vbc76580,Normal,,,,,255 m²,Fuel oil,Residence
,,Yes,Fully equipped,,500 m²,5170 Profondeville,1.0,4.0,4.0,, Make offer from 575 000 €  ,VBC76478,https://immovlan.be/en/detail/villa/for-sale/5170/profondeville/vbc76478,,1400 m²,60 m²,Yes,Yes,1427 m²,Fuel oil,Villa
No,,,Fully equipped,,90 m²,5500 Dinant,1.0,2.0,,,  190 000 €  ,VBC76439,https://immovlan.be/en/detail/apartment/for-sale/5500/dinant/vbc76439,Normal,,,,Yes,,,Apartment
,,Yes,,,,5350 Évelette,,2.0,4.0,, Start price 60 000 €  ,VBC76416,https://immovlan.be/en/detail/residence/in-public-sale/5350/evelette/vbc76416,To be renovated,,,,,600 m²,,Residence
,,,,,,5000 Namur,1.0,5.0,3.0,, Make offer from 260 000 €  ,VBC76415,https://immovlan.be/en/detail/residence/for-sale/5000/namur/vbc76415,,,,,,90 m²,Gas,Residence
No,Yes,Yes,Partially equipped,,125 m²,5300 Sclayn,,2.0,4.0,1.0,  330 000 €  ,VBC76376,https://immovlan.be/en/detail/residence/for-sale/5300/sclayn/vbc76376,Normal,,,,Yes,824 m²,Fuel oil,Residence
No,,Yes,Fully equipped,,150 m²,5575 Gedinne,1.0,3.0,,,  325 000 €  ,VBC53193,https://immovlan.be/en/detail/residence/for-sale/5575/gedinne/vbc53193,Excellent,400 m²,,,,,,Residence
No,,Yes,Fully equipped,,150 m²,5575 Gedinne,1.0,3.0,,,  325 000 €  ,VBC53192,https://immovlan.be/en/detail/residence/for-sale/5575/gedinne/vbc53192,Excellent,400 m²,,,,,,Residence
No,Yes,Yes,,,236 m²,5300 Andenne,1.0,5.0,4.0,1.0, Make offer from 480 000 €  ,VBC76369,https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbc76369,Excellent,,,No,Yes,1200 m²,Fuel oil,Residence
No,Yes,Yes,,,236 m²,5300 Andenne,1.0,5.0,4.0,1.0, Make offer from 399 000 €  ,VBC76368,https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbc76368,Excellent,,,No,Yes,600 m²,Fuel oil,Residence
No,Yes,Yes,Super equipped,,191 m²,5555 Graide,2.0,4.0,3.0,1.0,  429 000 €  ,VBC76329,https://immovlan.be/en/detail/residence/for-sale/5555/graide/vbc76329,Normal,1307 m²,120 m²,,Yes,1307 m²,Not specified,Residence
Yes,,Yes,Fully equipped,,42 m²,5542 Blaimont,1.0,2.0,,,  79 000 €  ,VBC76277,https://immovlan.be/en/detail/cottage/for-sale/5542/blaimont/vbc76277,Excellent,285 m²,10 m²,,Yes,,,Cottage
No,Yes,Yes,Fully equipped,Western kitchen,248 m²,5377 Somme-Leuze,1.0,3.0,4.0,3.0,  325 000 €  ,VBC76287,https://immovlan.be/en/detail/residence/for-sale/5377/somme-leuze/vbc76287,Normal,836 m²,,No,,836 m²,Fuel oil,Residence
No,,Yes,Fully equipped,,241 m²,5560 Houyet,3.0,4.0,,,  239 000 €  ,VBC76275,https://immovlan.be/en/detail/residence/for-sale/5560/houyet/vbc76275,Normal,300 m²,15 m²,,Yes,,,Residence
,,Yes,,,300 m²,5000 Namur,2.0,5.0,4.0,,  700 000 €  ,VWD13442,https://immovlan.be/en/detail/villa/for-sale/5000/namur/vwd13442,,,,,Yes,,Gas,Villa
No,Yes,Yes,,,310 m²,5540 Hastière,1.0,5.0,4.0,,  430 000 €  ,VBC76228,https://immovlan.be/en/detail/residence/for-sale/5540/hastiere/vbc76228,New,,51 m²,,Yes,,,Residence
No,Yes,Yes,Super equipped,,250 m²,5500 Dinant,2.0,4.0,3.0,2.0,  299 000 €  ,VBC76227,https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbc76227,,,40 m²,,Yes,1108 m²,Fuel oil,Residence
No,,Yes,Super equipped,,125 m²,5310 Hanret,1.0,3.0,4.0,2.0,  260 000 €  ,VBC76206,https://immovlan.be/en/detail/apartment/for-sale/5310/hanret/vbc76206,Normal,38 m²,,,No,,,Apartment
Yes,,No,,,60 m²,5377 Heure,1.0,3.0,4.0,,  145 000 €  ,VBC76200,https://immovlan.be/en/detail/chalet/for-sale/5377/heure/vbc76200,,,,,Yes,66 m²,Wood,Chalet
,,Yes,Super equipped,,96 m²,5002 Saint-Servais,1.0,1.0,3.0,3.0,  99 000 €  ,VBC76198,https://immovlan.be/en/detail/residence/for-sale/5002/saint-servais/vbc76198,To be renovated,,,No,,,Gas,Residence
No,Yes,Yes,,,111 m²,5140 Sombreffe,1.0,3.0,4.0,,  395 000 €  ,VBC76132,https://immovlan.be/en/detail/residence/for-sale/5140/sombreffe/vbc76132,To be renovated,,45 m²,,Yes,1954 m²,Fuel oil,Residence
,,Yes,,,,5310 Leuze,,2.0,4.0,, Make offer from 249 000 €  ,VBC76131,https://immovlan.be/en/detail/residence/for-sale/5310/leuze/vbc76131,To be renovated,,,,,,Fuel oil,Residence
No,Yes,Yes,,,77 m²,5000 Namur,1.0,2.0,3.0,2.0,  220 000 €  ,VBC76151,https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbc76151,To renovate,1500 m²,8 m²,No,Yes,,Gas,Apartment
,,,,,,5570 Beauraing,,1.0,4.0,, Make offer from 90 000 €  ,VBC76133,https://immovlan.be/en/detail/residence/for-sale/5570/beauraing/vbc76133,To restore,,,No,,933 m²,,Residence
,Yes,,Fully equipped,Western kitchen,104 m²,5000 Namur,3.0,3.0,2.0,3.0,  345 000 €  ,VBC76108,https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbc76108,New,,11 m²,No,Yes,,Gas,Apartment
,Yes,,Fully equipped,Western kitchen,47 m²,5000 Namur,1.0,1.0,2.0,3.0,  205 000 €  ,VBC76106,https://immovlan.be/en/detail/ground-floor/for-sale/5000/namur/vbc76106,New,,11 m²,No,Yes,,Gas,Ground
No,Yes,Yes,Partially equipped,Kitchenette,236 m²,5500 Dinant,3.0,5.0,4.0,, Make offer from 398 000 €  ,VBC76093,https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbc76093,,,,,Yes,1741 m²,Fuel oil,Residence
,Yes,Yes,Fully equipped,,,5020 Vedrin,,4.0,3.0,,  355 000 €  ,VBC75851,https://immovlan.be/en/detail/residence/for-sale/5020/vedrin/vbc75851,,,,,,505 m²,Fuel oil,Residence
,Yes,,,,100 m²,5060 Auvelais,,2.0,,,"
Make offer from 155 000 €
                            
",VBA83497,https://immovlan.be/en/detail/apartment/for-sale/5060/auvelais/vba83497,,,,,,,Electricity,Apartment
No,Yes,Yes,Fully equipped,,150 m²,5370 Havelange,1.0,3.0,,,  285 000 €  ,VBC75810,https://immovlan.be/en/detail/residence/for-sale/5370/havelange/vbc75810,Normal,1000 m²,18 m²,No,Yes,,,Residence
,Yes,Yes,Fully equipped,,232 m²,5150 Franière,1.0,4.0,2.0,, Make offer from 220 000 €  ,VBC75799,https://immovlan.be/en/detail/residence/for-sale/5150/franiere/vbc75799,To be renovated,,,,,2494 m²,Fuel oil,Residence
No,Yes,,Super equipped,,124 m²,5100 Dave,2.0,3.0,3.0,3.0,  350 000 €  ,VBC75830,https://immovlan.be/en/detail/duplex/for-sale/5100/dave/vbc75830,Excellent,,10 m²,No,Yes,,Gas,Duplex
No,,,Super equipped,,140 m²,5590 Ciney,1.0,3.0,2.0,3.0, Make offer from 249 000 €  ,VBC75826,https://immovlan.be/en/detail/triplex/for-sale/5590/ciney/vbc75826,Normal,,,No,Yes,,Gas,Triplex
,,Yes,,,190 m²,5000 Namur,1.0,2.0,2.0,, To negotiate 180 000 €  ,VWD13431,https://immovlan.be/en/detail/residence/for-sale/5000/namur/vwd13431,To be renovated,200 m²,,,,,Gas,Residence
,,,,,,5100 Jambes,,2.0,,,  235 000 €  ,VBC75794,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbc75794,,,,,,,Gas,Apartment
No,Yes,Yes,,,749 m²,5300 Andenne,2.0,12.0,,2.0,  999 000 €  ,VBC75790,https://immovlan.be/en/detail/master-house/for-sale/5300/andenne/vbc75790,Fully renovated,,,Yes,Yes,4092 m²,Wood,Master
No,,Yes,,,32 m²,5377 Heure,1.0,1.0,4.0,,  59 000 €  ,VBC75783,https://immovlan.be/en/detail/chalet/for-sale/5377/heure/vbc75783,To be renovated,355 m²,10 m²,No,Yes,392 m²,,Chalet
No,,,,,100 m²,5500 Dinant,1.0,2.0,3.0,, Make offer from 120 000 €  ,VBC75597,https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbc75597,,,,,,,Not specified,Residence
,,,,,110 m²,5640 Mettet,1.0,3.0,4.0,1.0, Make offer from 80 000 €  ,VBC75477,https://immovlan.be/en/detail/residence/for-sale/5640/mettet/vbc75477,To be renovated,,,,,274 m²,Fuel oil,Residence
No,,Yes,,,150 m²,5660 Couvin,1.0,4.0,2.0,,  125 000 €  ,VBC75451,https://immovlan.be/en/detail/residence/for-sale/5660/couvin/vbc75451,,,30 m²,,Yes,345 m²,Gas,Residence
Yes,Yes,Yes,Fully equipped,Western kitchen,224 m²,5575 Gedinne,2.0,6.0,3.0,2.0,  399 000 €  ,VBC75518,https://immovlan.be/en/detail/residence/for-sale/5575/gedinne/vbc75518,Excellent,150 m²,20 m²,No,Yes,339 m²,Fuel oil,Residence
Yes,,Yes,,,250 m²,5070 Fosses-la-Ville,2.0,5.0,2.0,,  475 000 €  ,VBC75473,https://immovlan.be/en/detail/residence/for-sale/5070/fosses-la-ville/vbc75473,,,,,Yes,280 m²,,Residence
,,Yes,Fully equipped,Independent,570 m²,5550 Mouzaive,5.0,6.0,4.0,,  750 000 €  ,VWD13413,https://immovlan.be/en/detail/residence/for-sale/5550/mouzaive/vwd13413,Excellent,,,,Yes,1196 m²,Gas,Residence
,,Yes,Super equipped,Independent,430 m²,5555 Naomé,8.0,9.0,4.0,,  1 600 000 €  ,VWD13412,https://immovlan.be/en/detail/residence/for-sale/5555/naome/vwd13412,Excellent,,,Yes,Yes,3353 m²,Solar energy,Residence
No,Yes,Yes,Partially equipped,Kitchenette,120 m²,5575 Gedinne,1.0,3.0,3.0,2.0,  165 000 €  ,VBC75254,https://immovlan.be/en/detail/residence/for-sale/5575/gedinne/vbc75254,,400 m²,25 m²,No,Yes,713 m²,,Residence
,,Yes,,,185 m²,5620 Florennes,1.0,2.0,2.0,1.0, Make offer from 145 000 €  ,VBC75189,https://immovlan.be/en/detail/residence/for-sale/5620/florennes/vbc75189,To be renovated,,,,Yes,130 m²,Fuel oil,Residence
No,,,Fully equipped,Western kitchen,94 m²,5032 Corroy-le-Château,1.0,2.0,2.0,1.0,  239 000 €  ,VBC75226,https://immovlan.be/en/detail/apartment/for-sale/5032/corroy-le-chateau/vbc75226,Normal,,,No,,,Gas,Apartment
,,Yes,Fully equipped,Western kitchen,115 m²,5002 Saint-Servais,1.0,3.0,2.0,,  265 000 €  ,VBC75204,https://immovlan.be/en/detail/residence/for-sale/5002/saint-servais/vbc75204,,,,,Yes,194 m²,Gas,Residence
No,Yes,Yes,Super equipped,,463 m²,5650 Yves-Gomezée,3.0,10.0,4.0,5.0,  429 900 €  ,VBC51062,https://immovlan.be/en/detail/residence/for-sale/5650/yves-gomezee/vbc51062,,1716 m²,25 m²,,Yes,2120 m²,Fuel oil,Residence
,,,,,,5060 Arsimont,,3.0,,, Make offer from 235 000 €  ,VBC75032,https://immovlan.be/en/detail/residence/for-sale/5060/arsimont/vbc75032,,,,,,,,Residence
No,,,,,137 m²,5620 Florennes,1.0,2.0,2.0,3.0,  87 000 €  ,VBC75086,https://immovlan.be/en/detail/mixed-building/for-sale/5620/florennes/vbc75086,To be renovated,,7 m²,No,Yes,60 m²,Gas,Mixed
,Yes,,,,,5640 Biesme,,3.0,,, Make offer from 300 000 €  ,VBC74980,https://immovlan.be/en/detail/villa/for-sale/5640/biesme/vbc74980,,,,,,,,Villa
,Yes,,,,,5555 Monceau,,2.0,,, Start price 90 000 €  ,VBC74944,https://immovlan.be/en/detail/residence/in-public-sale/5555/monceau/vbc74944,,,,,,,,Residence
,Yes,Yes,,,,5190 Jemeppe-Sur-Sambre,,2.0,4.0,, Start price 100 000 €  ,VBC74722,https://immovlan.be/en/detail/villa/in-public-sale/5190/jemeppe-sur-sambre/vbc74722,To be renovated,,,,Yes,,,Villa
No,,Yes,Fully equipped,Western kitchen,120 m²,5530 Yvoir,1.0,2.0,4.0,1.0,  249 000 €  ,VBC74755,https://immovlan.be/en/detail/residence/for-sale/5530/yvoir/vbc74755,Normal,160 m²,,No,Yes,393 m²,Fuel oil,Residence
No,Yes,Yes,Fully equipped,Western kitchen,250 m²,5537 Anhée,2.0,2.0,4.0,2.0,  269 000 €  ,VBC74687,https://immovlan.be/en/detail/residence/for-sale/5537/anhee/vbc74687,To be renovated,,,No,Yes,540 m²,,Residence
Yes,,Yes,Partially equipped,Kitchenette,24 m²,5580 Han-sur-Lesse,1.0,0.0,2.0,4.0,  85 000 €  ,VBC74655,https://immovlan.be/en/detail/studio/for-sale/5580/han-sur-lesse/vbc74655,Normal,,,Yes,Yes,,,Studio
No,,,Fully equipped,Western kitchen,225 m²,5564 Wanlin,1.0,4.0,3.0,2.0,  239 000 €  ,VBC74654,https://immovlan.be/en/detail/residence/for-sale/5564/wanlin/vbc74654,Normal,,,No,Yes,,,Residence
No,,Yes,Super equipped,,270 m²,5640 Mettet,1.0,4.0,3.0,,  299 000 €  ,VBC74632,https://immovlan.be/en/detail/residence/for-sale/5640/mettet/vbc74632,,,,,No,1275 m²,Fuel oil,Residence
No,Yes,Yes,,,163 m²,5300 Thon,1.0,2.0,4.0,,  260 000 €  ,VBC03455,https://immovlan.be/en/detail/residence/for-sale/5300/thon/vbc03455,To be renovated,,70 m²,,Yes,1550 m²,Fuel oil,Residence
No,,No,,,90 m²,5590 Ciney,,2.0,,4.0,  225 000 €  ,VBC74589,https://immovlan.be/en/detail/apartment/for-sale/5590/ciney/vbc74589,,,3 m²,,Yes,,Electricity,Apartment
No,,Yes,Partially equipped,,,5377 Noiseux,1.0,2.0,4.0,,  47 500 €  ,VBB64780,https://immovlan.be/en/detail/residence/for-sale/5377/noiseux/vbb64780,,484 m²,,,Yes,484 m²,Gas,Residence
,,,,,,5500 Dinant,,4.0,,, Start price 185 000 €  ,VBC74446,https://immovlan.be/en/detail/mixed-building/in-public-sale/5500/dinant/vbc74446,,,,,,,,Mixed
,Yes,Yes,Super equipped,,1025 m²,5310 Éghezée,6.0,7.0,4.0,3.0, Price on request ,VBC74552,https://immovlan.be/en/detail/residence/for-sale/5310/eghezee/vbc74552,Normal,16000 m²,80 m²,Yes,Yes,16677 m²,Fuel oil,Residence
No,,Yes,Fully equipped,Western kitchen,84 m²,5540 Waulsort,1.0,1.0,2.0,,  225 000 €  ,VBC74478,https://immovlan.be/en/detail/apartment/for-sale/5540/waulsort/vbc74478,Normal,150 m²,,No,Yes,,Gas,Apartment
No,,Yes,Partially equipped,,90 m²,5060 Auvelais,,2.0,3.0,,  150 000 €  ,VBC74346,https://immovlan.be/en/detail/residence/for-sale/5060/auvelais/vbc74346,Normal,,,,Yes,365 m²,Solar energy,Residence
No,Yes,,,,135 m²,5650 Fraire,1.0,3.0,,,  275 000 €  ,VBC74343,https://immovlan.be/en/detail/villa/for-sale/5650/fraire/vbc74343,,,,,,2838 m²,Fuel oil,Villa
,Yes,Yes,,,,5310 Noville-sur-Méhaigne,,3.0,3.0,2.0, Make offer from 180 000 €  ,VBC74314,https://immovlan.be/en/detail/residence/for-sale/5310/noville-sur-mehaigne/vbc74314,To be renovated,,,,,920 m²,Fuel oil,Residence
No,Yes,Yes,Fully equipped,Western kitchen,215 m²,5060 Sambreville,1.0,3.0,3.0,3.0,  325 000 €  ,VBC74447,https://immovlan.be/en/detail/residence/for-sale/5060/sambreville/vbc74447,Normal,850 m²,150 m²,No,Yes,1270 m²,Fuel oil,Residence
No,,No,Partially equipped,,80 m²,5300 Andenne,1.0,2.0,2.0,,  175 000 €  ,VBC74298,https://immovlan.be/en/detail/apartment/for-sale/5300/andenne/vbc74298,,,13 m²,,Yes,,Gas,Apartment
No,,,,Independent,,5300 Andenne,1.0,3.0,2.0,3.0, Make offer from 249 000 €  ,VBC74441,https://immovlan.be/en/detail/mixed-building/for-sale/5300/andenne/vbc74441,Normal,,35 m²,No,Yes,124 m²,Gas,Mixed
No,,Yes,Fully equipped,Western kitchen,110 m²,5651 Somzée,1.0,3.0,4.0,,  239 000 €  ,VBC74382,https://immovlan.be/en/detail/residence/for-sale/5651/somzee/vbc74382,New,,,,Yes,150 m²,Hot air,Residence
No,Yes,Yes,,,365 m²,5000 Namur,1.0,6.0,4.0,1.0, Make offer from 499 000 €  ,VBC74376,https://immovlan.be/en/detail/master-house/for-sale/5000/namur/vbc74376,To be renovated,420 m²,70 m²,No,Yes,1000 m²,Fuel oil,Master
,,Yes,,,103 m²,5660 Mariembourg,,4.0,2.0,,"
 248 000 €
                            
",VBC74230,https://immovlan.be/en/detail/residence/for-sale/5660/mariembourg/vbc74230,,30 m²,7 m²,,Yes,144 m²,Not specified,Residence
,Yes,Yes,,,293 m²,5660 Mariembourg,1.0,4.0,4.0,,"
 400 000 €
                            
",VBC74224,https://immovlan.be/en/detail/villa/for-sale/5660/mariembourg/vbc74224,,1000 m²,75 m²,,Yes,1476 m²,Fuel oil,Villa
No,Yes,,,,100 m²,5100 Dave,1.0,1.0,2.0,3.0,  290 000 €  ,VBC74345,https://immovlan.be/en/detail/apartment/for-sale/5100/dave/vbc74345,Normal,,,No,,,Gas,Apartment
No,,Yes,Super equipped,,155 m²,5377 Baillonville,1.0,3.0,4.0,,  420 000 €  ,VBC74064,https://immovlan.be/en/detail/residence/for-sale/5377/baillonville/vbc74064,New,500 m²,,,Yes,500 m²,Hot air,Residence
,Yes,,Fully equipped,Western kitchen,250 m²,5500 Dinant,1.0,2.0,2.0,4.0,  329 000 €  ,VBC74240,https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbc74240,Excellent,,,No,Yes,112 m²,Hot air,Residence
No,Yes,,Partially equipped,Kitchenette,123 m²,5100 Dave,1.0,2.0,2.0,3.0,  295 000 €  ,VBC74103,https://immovlan.be/en/detail/apartment/for-sale/5100/dave/vbc74103,Excellent,,2 m²,No,Yes,,Gas,Apartment
,Yes,,,,185 m²,5000 Beez,1.0,3.0,4.0,,  657 679 €  ,VBC74088,https://immovlan.be/en/detail/residence/for-sale/5000/beez/vbc74088,New,,,,,4000 m²,,Residence
,Yes,,,,228 m²,5000 Beez,2.0,3.0,4.0,,  654 940 €  ,VBC74087,https://immovlan.be/en/detail/residence/for-sale/5000/beez/vbc74087,New,,,,,4000 m²,,Residence
,,,,,132 m²,5300 Andenne,1.0,3.0,4.0,,  322 355 €  ,VBC74086,https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbc74086,New,,,,,459 m²,,Residence
,Yes,,,,154 m²,5300 Andenne,1.0,4.0,4.0,,  323 452 €  ,VBC74085,https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbc74085,New,,,,,459 m²,,Residence
,,,,,126 m²,5590 Achêne,1.0,3.0,4.0,,  384 923 €  ,VBC74084,https://immovlan.be/en/detail/residence/for-sale/5590/achene/vbc74084,New,,,,,1502 m²,,Residence
,,,,,148 m²,5340 Gesves,1.0,4.0,4.0,,"
 356 717 €
                            
",VBC74083,https://immovlan.be/en/detail/residence/for-sale/5340/gesves/vbc74083,New,,,,,900 m²,,Residence
,Yes,,,,190 m²,5340 Gesves,1.0,3.0,4.0,,  365 807 €  ,VBC74082,https://immovlan.be/en/detail/residence/for-sale/5340/gesves/vbc74082,New,,,,,900 m²,,Residence
No,Yes,Yes,Super equipped,,261 m²,5537 Denée,1.0,4.0,,,  340 000 €  ,VBC73873,https://immovlan.be/en/detail/residence/for-sale/5537/denee/vbc73873,,,,,Yes,627 m²,Fuel oil,Residence
No,Yes,Yes,,,145 m²,5650 Walcourt,1.0,2.0,,,  160 000 €  ,VBC73874,https://immovlan.be/en/detail/residence/for-sale/5650/walcourt/vbc73874,,,,,,560 m²,Not specified,Residence
No,Yes,Yes,,,220 m²,5640 Mettet,1.0,3.0,,,  255 000 €  ,VBC73868,https://immovlan.be/en/detail/residence/for-sale/5640/mettet/vbc73868,Normal,,,,Yes,,Not specified,Residence
No,Yes,Yes,Super equipped,,162 m²,5670 Nismes,1.0,3.0,2.0,3.0,  169 000 €  ,VBC73837,https://immovlan.be/en/detail/residence/for-sale/5670/nismes/vbc73837,Normal,,,,Yes,727 m²,Fuel oil,Residence
No,,Yes,Partially equipped,,81 m²,5190 Spy,,1.0,2.0,,  170 000 €  ,VBC73737,https://immovlan.be/en/detail/ground-floor/for-sale/5190/spy/vbc73737,Normal,,,,No,,,Ground
No,,,Partially equipped,,105 m²,5000 Namur,1.0,2.0,2.0,6.0,  275 000 €  ,VBC73617,https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbc73617,Normal,,,,Yes,,Gas,Apartment
No,,No,Not equipped,,178 m²,5070 Le Roux,,3.0,,2.0,  349 000 €  ,VBC73605,https://immovlan.be/en/detail/residence/for-sale/5070/le-roux/vbc73605,,,,,No,691 m²,Not specified,Residence
No,,Yes,Not equipped,,167 m²,5070 Le Roux,,4.0,,2.0,  345 000 €  ,VBC73604,https://immovlan.be/en/detail/residence/for-sale/5070/le-roux/vbc73604,,,,,No,610 m²,Not specified,Residence
No,,No,Super equipped,,58 m²,5002 Saint-Servais,1.0,1.0,,,  149 000 €  ,VBC73602,https://immovlan.be/en/detail/residence/for-sale/5002/saint-servais/vbc73602,Normal,,,,No,147 m²,Gas,Residence
No,Yes,Yes,Super equipped,,190 m²,5651 Tarcienne,2.0,4.0,4.0,,  499 000 €  ,VBC73598,https://immovlan.be/en/detail/residence/for-sale/5651/tarcienne/vbc73598,Normal,,,,Yes,1360 m²,Fuel oil,Residence
Yes,Yes,Yes,,,126 m²,5555 Graide,,2.0,4.0,3.0,  199 000 €  ,VBC73395,https://immovlan.be/en/detail/residence/for-sale/5555/graide/vbc73395,To be renovated,,,,Yes,857 m²,Fuel oil,Residence
